CCAR's Altimetry Explorer
https://ccar.colorado.edu/altimetry/
ALTIMETRY INFORMATION
lat,-14.25
lon,-170.75
Source,JPL SSHA Grids v1812

TIDEGAUGE INFORMATION
lat,-14.282999992370605
lon,189.31700134277344
code,56
location,Pago Pago
Source,UHSLC FD + RQ data


Altimetry,,,Tide Gauge
time,sla (cm),,time,sla (cm)
1992.7522245037646,-2.2755674052357833,,1992.7522245037646,-5.560903126284422
1992.7659137577002,-2.3236978529794934,,1992.7659137577002,-5.846662274707972
1992.7796030116358,-2.275752149315321,,1992.7796030116358,-5.796314285369876
1992.7932922655716,-2.103075047593665,,1992.7932922655716,-5.820569082458709
1992.8069815195072,-1.7953653324318088,,1992.8069815195072,-5.826315616045823
1992.8206707734428,-1.3994249892946842,,1992.8206707734428,-5.851539103929728
1992.8343600273786,-0.9457668462015879,,1992.8343600273786,-5.822583067709794
1992.8480492813142,-0.3860515084717827,,1992.8480492813142,-5.42371245419524
1992.8617385352497,0.15802920211046748,,1992.8617385352497,-5.406969711780066
1992.8754277891856,0.6948190115616316,,1992.8754277891856,-5.280796118615142
1992.8891170431211,1.1716755057698713,,1992.8891170431211,-4.930497155993395
1992.9028062970567,1.70224599493586,,1992.9028062970567,-4.772073937741951
1992.9164955509925,2.184479837321489,,1992.9164955509925,-4.306057585169198
1992.930184804928,2.5627257129529992,,1992.930184804928,-4.286731463192966
1992.9438740588637,2.818160018441846,,1992.9438740588637,-4.5298183997902
1992.9575633127995,2.8558043821623498,,1992.9575633127995,-4.950940673475399
1992.971252566735,2.588883763520397,,1992.971252566735,-5.396391213781883
1992.9849418206709,2.0356772471260594,,1992.9849418206709,-5.750831274782736
1992.9986310746065,1.316075609050782,,1992.9986310746065,-6.044991276304415
1993.012320328542,0.4438440733172395,,1993.012320328542,-6.5633744878243885
1993.0260095824779,-0.42335567107565397,,1993.0260095824779,-7.15965545128626
1993.0396988364134,-1.283835589810897,,1993.0396988364134,-8.018234196090235
1993.053388090349,-2.076663953201316,,1993.053388090349,-9.085022625284074
1993.0670773442848,-2.685244191108961,,1993.0670773442848,-9.944385563622053
1993.0807665982204,-3.2041610943742436,,1993.0807665982204,-10.75762047231348
1993.094455852156,-3.629674568963984,,1993.094455852156,-11.547590598820934
1993.1081451060918,-3.9443579000531344,,1993.1081451060918,-11.467972497003286
1993.1218343600274,-4.028883815436888,,1993.1218343600274,-11.172501961297618
1993.135523613963,-3.818387414018758,,1993.135523613963,-10.953448621403213
1993.1492128678988,-3.3096131840619476,,1993.1492128678988,-10.810857201148552
1993.1629021218343,-2.8062610212948176,,1993.1629021218343,-10.821785831875783
1993.17659137577,-2.6353124648153963,,1993.17659137577,-10.686464209027601
1993.1902806297057,-2.739957099042816,,1993.1902806297057,-10.859063711042076
1993.2039698836413,-2.951998884718949,,1993.2039698836413,-11.132310166871124
1993.217659137577,-3.0148410958869696,,1993.217659137577,-10.85286237466943
1993.2313483915127,-3.1534360180365035,,1993.2313483915127,-10.813610351595262
1993.2450376454483,-3.3847967096828744,,1993.2450376454483,-10.85366278383618
1993.2587268993839,-3.603836988189014,,1993.2587268993839,-10.612177859176219
1993.2724161533197,-3.671953676793909,,1993.2724161533197,-10.528345598724282
1993.2861054072553,-3.6418139398185714,,1993.2861054072553,-10.887522187946347
1993.299794661191,-3.763259462179555,,1993.299794661191,-11.351978406830654
1993.3134839151267,-4.100290186735461,,1993.3134839151267,-11.722416611469813
1993.3271731690622,-4.72441526211084,,1993.3271731690622,-11.968718438579657
1993.340862422998,-5.237011640583589,,1993.340862422998,-12.145308489646002
1993.3545516769336,-5.439021470515796,,1993.3545516769336,-12.637288471433518
1993.3682409308692,-5.299247066371293,,1993.3682409308692,-12.54503470169494
1993.381930184805,-5.039095467419662,,1993.381930184805,-12.384182610825972
1993.3956194387406,-4.8563365635001805,,1993.3956194387406,-12.400998729423266
1993.4093086926762,-4.6686195000422686,,1993.4093086926762,-12.310832880827244
1993.422997946612,-4.4419147247941435,,1993.422997946612,-12.259650899041551
1993.4366872005476,-4.413167661402804,,1993.4366872005476,-12.339417322405868
1993.4503764544831,-4.603498014071027,,1993.4503764544831,-12.70348202114608
1993.464065708419,-5.009835300219536,,1993.464065708419,-12.874278451728845
1993.4777549623545,-5.439516742095036,,1993.4777549623545,-12.843333426826861
1993.4914442162901,-5.720478052360192,,1993.4914442162901,-12.963588180694783
1993.505133470226,-5.682944759324473,,1993.505133470226,-12.810953483668438
1993.5188227241615,-5.5641526372648835,,1993.5188227241615,-12.599713773193754
1993.532511978097,-5.49179510028125,,1993.532511978097,-12.282549032713076
1993.546201232033,-5.541876962942169,,1993.546201232033,-12.027481543218881
1993.5598904859685,-5.794173414962932,,1993.5598904859685,-11.8794391957863
1993.5735797399043,-6.152658025734396,,1993.5735797399043,-12.044896249978063
1993.5872689938399,-6.571988899705523,,1993.5872689938399,-12.445744715222002
1993.6009582477755,-7.019854401781336,,1993.6009582477755,-12.73470338208822
1993.6146475017113,-7.289104954025692,,1993.6146475017113,-13.272263860813611
1993.6283367556468,-7.366453578310208,,1993.6283367556468,-13.242096102466242
1993.6420260095824,-7.1997601754102005,,1993.6420260095824,-12.981835936456498
1993.6557152635182,-6.878587870170335,,1993.6557152635182,-12.783100308828583
1993.6694045174538,-6.653340490144472,,1993.6694045174538,-12.49919137751663
1993.6830937713894,-6.5281300467674335,,1993.6830937713894,-12.606643026362615
1993.6967830253252,-6.420945578684786,,1993.6967830253252,-12.566763465537717
1993.7104722792608,-6.074179335104923,,1993.7104722792608,-12.30255846591561
1993.7241615331964,-5.577929046828005,,1993.7241615331964,-12.091035271838866
1993.7378507871322,-5.050273756285993,,1993.7378507871322,-11.67857965501385
1993.7515400410678,-4.539091224290249,,1993.7515400410678,-11.234790985666049
1993.7652292950033,-3.97757818723702,,1993.7652292950033,-10.598621833278413
1993.7789185489391,-3.4182090532552087,,1993.7789185489391,-9.839899465382063
1993.7926078028747,-2.8938821637163423,,1993.7926078028747,-9.205460532606393
1993.8062970568103,-2.4320202685434933,,1993.8062970568103,-8.896053363248235
1993.8199863107461,-2.1291035046924316,,1993.8199863107461,-8.835546947012732
1993.8336755646817,-2.029588015483657,,1993.8336755646817,-8.970908787229813
1993.8473648186173,-2.0999827267894804,,1993.8473648186173,-8.910644573908085
1993.861054072553,-2.2875617579954937,,1993.861054072553,-8.824777230237173
1993.8747433264887,-2.395160337810788,,1993.8747433264887,-8.967904390009704
1993.8884325804245,-2.5140926377430066,,1993.8884325804245,-9.171488697023722
1993.90212183436,-2.5355760626905406,,1993.90212183436,-9.282304481399752
1993.9158110882956,-2.3399693077418577,,1993.9158110882956,-9.447041210078972
1993.9295003422314,-2.0554455940679217,,1993.9295003422314,-9.266140939680737
1993.943189596167,-1.7540979177025784,,1993.943189596167,-8.916869975998042
1993.9568788501026,-1.4571748869148615,,1993.9568788501026,-8.945624837945205
1993.9705681040384,-1.2150214571015463,,1993.9705681040384,-8.814087899461496
1993.984257357974,-1.1069004679238519,,1993.984257357974,-8.822309513197133
1993.9979466119096,-1.0964745745460005,,1993.9979466119096,-8.762562546448734
1994.0116358658454,-1.0367786334957623,,1994.0116358658454,-8.596276701254537
1994.025325119781,-0.8213178985653103,,1994.025325119781,-8.515590672769761
1994.0390143737166,-0.410444201719356,,1994.0390143737166,-8.41259858714531
1994.0527036276524,-0.030561987772975387,,1994.0527036276524,-8.133213254340752
1994.066392881588,0.1522427155766083,,1994.066392881588,-8.06179949746343
1994.0800821355235,0.31046687783625804,,1994.0800821355235,-7.936576948847482
