CCAR's Altimetry Explorer
https://ccar.colorado.edu/altimetry/
ALTIMETRY INFORMATION
lat,29.25
lon,-94.75
Source,JPL SSHA Grids v1812

TIDEGAUGE INFORMATION
lat,29.309999465942383
lon,265.2070007324219
code,775
location,Galveston, Pier 21
Source,UHSLC FD + RQ data


Altimetry,,,Tide Gauge
time,sla (cm),,time,sla (cm)
1992.7522245037646,0.10995320695914527,,1992.7522245037646,-7.129150059530478
1992.7659137577002,-0.2917296111241452,,1992.7659137577002,-6.777778694611046
1992.7796030116358,-0.6963725340926472,,1992.7796030116358,-6.6475166921723465
1992.7932922655716,-1.074009414361472,,1992.7932922655716,-5.802922919103862
1992.8069815195072,-1.1713460686931918,,1992.8069815195072,-5.225537732526767
1992.8206707734428,-0.9599286872360907,,1992.8206707734428,-4.697847389178058
1992.8343600273786,-0.7557803041772084,,1992.8343600273786,-4.439619203241282
1992.8480492813142,-0.5885039086042765,,1992.8480492813142,-3.7732847050837597
1992.8617385352497,-0.41855061726806086,,1992.8617385352497,-2.8991724157035406
1992.8754277891856,-0.28256740557081916,,1992.8754277891856,-2.232010566820986
1992.8891170431211,-0.10399040679515599,,1992.8891170431211,-1.7409312405420323
1992.9028062970567,0.0504357761281666,,1992.9028062970567,-1.2336307735764998
1992.9164955509925,0.09752576192310233,,1992.9164955509925,-0.9363319634801626
1992.930184804928,-0.06209673950766948,,1992.930184804928,-1.219360142719587
1992.9438740588637,-0.5272588018085095,,1992.9438740588637,-1.0659385937011014
1992.9575633127995,-0.8766835250741036,,1992.9575633127995,-0.6334767396051535
1992.971252566735,-0.9864249651889406,,1992.971252566735,-0.1903715278793431
1992.9849418206709,-1.1179062359452563,,1992.9849418206709,0.1405053027195624
1992.9986310746065,-1.3613658823302324,,1992.9986310746065,1.150277919378545
1993.012320328542,-1.5672330927625664,,1993.012320328542,0.6404818007548977
1993.0260095824779,-1.665929533005858,,1993.0260095824779,0.4594122001244969
1993.0396988364134,-1.683537249477279,,1993.0396988364134,-0.04960403973385383
1993.053388090349,-1.7318651235911044,,1993.053388090349,0.16397920118234438
1993.0670773442848,-1.8339217903507645,,1993.0670773442848,-0.36197415451304954
1993.0807665982204,-1.9617735165502679,,1993.0807665982204,-0.414275465080024
1993.094455852156,-2.040497277945782,,1993.094455852156,-0.1244958511149379
1993.1081451060918,-2.0120159343824495,,1993.1081451060918,-0.6451392159537589
1993.1218343600274,-1.9162436020097664,,1993.1218343600274,-1.061898384935581
1993.135523613963,-1.9036571634671353,,1993.135523613963,-1.9899865447113
1993.1492128678988,-2.1604854608447925,,1993.1492128678988,-2.5865339977599415
1993.1629021218343,-2.68768798726029,,1993.1629021218343,-2.7110383774853317
1993.17659137577,-3.209184033935255,,1993.17659137577,-2.857854950472721
1993.1902806297057,-3.56123726325911,,1993.1902806297057,-3.3567125090833696
1993.2039698836413,-3.7600109720931703,,1993.2039698836413,-4.761239662274875
1993.217659137577,-3.7936865370634867,,1993.217659137577,-5.461486085435203
1993.2313483915127,-3.755696649962609,,1993.2313483915127,-5.560423497961541
1993.2450376454483,-3.8135198588748302,,1993.2450376454483,-5.850411793725086
1993.2587268993839,-3.8533481930805884,,1993.2587268993839,-6.465616834634447
1993.2724161533197,-3.9126302007011726,,1993.2724161533197,-6.810367898795654
1993.2861054072553,-3.865846202844242,,1993.2861054072553,-7.011444608136842
1993.299794661191,-3.6703635331253297,,1993.299794661191,-5.750285291316008
1993.3134839151267,-3.4826660144303743,,1993.3134839151267,-5.503111102992423
1993.3271731690622,-3.2004436896965056,,1993.3271731690622,-6.012962749954262
1993.340862422998,-2.7727483618872326,,1993.340862422998,-6.75764929317555
1993.3545516769336,-2.4600281441313787,,1993.3545516769336,-6.265611125038316
1993.3682409308692,-2.2412305911160617,,1993.3682409308692,-5.799701784803873
1993.381930184805,-2.2056472132808977,,1993.381930184805,-5.744895697042412
1993.3956194387406,-2.1406217675751353,,1993.3956194387406,-6.471931125457269
1993.4093086926762,-2.121351028334686,,1993.4093086926762,-6.7088995630428085
1993.422997946612,-2.0624892926060157,,1993.422997946612,-6.664794371745731
1993.4366872005476,-2.065933056975969,,1993.4366872005476,-6.993032693675197
1993.4503764544831,-2.13003296128078,,1993.4503764544831,-7.0829654456980045
1993.464065708419,-2.256504776732456,,1993.464065708419,-7.4873905566415155
1993.4777549623545,-2.3274768453599988,,1993.4777549623545,-7.870084501086521
1993.4914442162901,-2.308825520443865,,1993.4914442162901,-8.04536662904217
1993.505133470226,-2.2133430818122255,,1993.505133470226,-9.041709803137055
1993.5188227241615,-2.095961279232296,,1993.5188227241615,-9.641409463634433
