Monthly mean sea levels with the average seasonal cycle removed.
The values are in meters relative to the most recent Mean Sea Level datum established by CO-OPS.
Column values are the Year; Month; Monthly Mean; Relative Sea Level Trend Line; Higher 95% Confidence Interval; and Lower 95% Confidence Interval.
Product of NOAAs National Ocean Service / Center for Operational Oceanographic Products and Services (CO-OPS)

Year, Month, Monthly_MSL, Linear_Trend, High_Conf., Low_Conf.
1926,9,-0.159,-0.136,-0.126,-0.146,
1926,10,-0.125,-0.136,-0.126,-0.146,
1926,11,-0.201,-0.136,-0.126,-0.145,
1926,12,-0.141,-0.135,-0.126,-0.145,
1927,1,-0.185,-0.135,-0.125,-0.145,
1927,2,-0.087,-0.135,-0.125,-0.145,
1927,3,-0.146,-0.135,-0.125,-0.145,
1927,4,-0.176,-0.135,-0.125,-0.144,
1927,5,-0.134,-0.134,-0.125,-0.144,
1927,6,-0.136,-0.134,-0.125,-0.144,
1927,7,-0.155,-0.134,-0.124,-0.144,
1927,8,-0.121,-0.134,-0.124,-0.144,
1927,9,-0.113,-0.134,-0.124,-0.143,
1927,10,-0.110,-0.134,-0.124,-0.143,
1927,11,-0.119,-0.133,-0.124,-0.143,
1927,12,-0.044,-0.133,-0.124,-0.143,
1928,1,-0.158,-0.133,-0.123,-0.143,
1928,2,-0.187,-0.133,-0.123,-0.143,
1928,3,-0.146,-0.133,-0.123,-0.142,
1928,4,-0.195,-0.132,-0.123,-0.142,
1928,5,-0.127,-0.132,-0.123,-0.142,
1928,6,-0.127,-0.132,-0.122,-0.142,
1928,7,-0.124,-0.132,-0.122,-0.142,
1928,8,-0.121,-0.132,-0.122,-0.141,
1928,9,-0.117,-0.132,-0.122,-0.141,
1928,10,-0.174,-0.131,-0.122,-0.141,
1928,11,-0.186,-0.131,-0.122,-0.141,
1928,12,-0.205,-0.131,-0.121,-0.141,
1929,1,-0.228,-0.131,-0.121,-0.140,
1929,2,-0.132,-0.131,-0.121,-0.140,
1929,3,-0.113,-0.130,-0.121,-0.140,
1929,4,-0.057,-0.130,-0.121,-0.140,
1929,5,-0.198,-0.130,-0.121,-0.140,
1929,6,-0.130,-0.130,-0.120,-0.139,
1929,7,-0.167,-0.130,-0.120,-0.139,
1929,8,-0.152,-0.130,-0.120,-0.139,
1929,9,-0.144,-0.129,-0.120,-0.139,
1929,10,-0.199,-0.129,-0.120,-0.139,
1929,11,-0.189,-0.129,-0.120,-0.138,
1929,12,-0.193,-0.129,-0.119,-0.138,
1930,1,-0.213,-0.129,-0.119,-0.138,
1930,2,-0.175,-0.129,-0.119,-0.138,
1930,3,-0.171,-0.128,-0.119,-0.138,
1930,4,-0.222,-0.128,-0.119,-0.137,
1930,5,-0.161,-0.128,-0.119,-0.137,
1930,6,-0.209,-0.128,-0.118,-0.137,
1930,7,-0.131,-0.128,-0.118,-0.137,
1930,8,-0.131,-0.127,-0.118,-0.137,
1930,9,-0.126,-0.127,-0.118,-0.137,
1930,10,-0.083,-0.127,-0.118,-0.136,
1930,11,-0.210,-0.127,-0.118,-0.136,
1930,12,-0.144,-0.127,-0.117,-0.136,
1931,1,-0.133,-0.127,-0.117,-0.136,
1931,2,-0.160,-0.126,-0.117,-0.136,
1931,3,-0.021,-0.126,-0.117,-0.135,
1931,4,-0.137,-0.126,-0.117,-0.135,
1931,5,-0.137,-0.126,-0.117,-0.135,
1931,6,-0.066,-0.126,-0.116,-0.135,
1931,7,-0.097,-0.125,-0.116,-0.135,
1931,8,-0.097,-0.125,-0.116,-0.134,
1931,9,-0.092,-0.125,-0.116,-0.134,
1931,10,-0.119,-0.125,-0.116,-0.134,
1931,11,-0.198,-0.125,-0.116,-0.134,
1931,12,-0.150,-0.125,-0.115,-0.134,
1932,1,-0.088,-0.124,-0.115,-0.133,
1932,2,-0.081,-0.124,-0.115,-0.133,
1932,3,-0.097,-0.124,-0.115,-0.133,
1932,4,-0.131,-0.124,-0.115,-0.133,
1932,5,-0.201,-0.124,-0.115,-0.133,
1932,6,-0.149,-0.123,-0.114,-0.132,
1932,7,-0.106,-0.123,-0.114,-0.132,
1932,8,-0.131,-0.123,-0.114,-0.132,
1932,9,-0.074,-0.123,-0.114,-0.132,
1932,10,-0.156,-0.123,-0.114,-0.132,
1932,11,-0.070,-0.123,-0.114,-0.132,
1932,12,-0.108,-0.122,-0.113,-0.131,
1933,1,-0.042,-0.122,-0.113,-0.131,
1933,2,-0.114,-0.122,-0.113,-0.131,
1933,3,-0.085,-0.122,-0.113,-0.131,
1933,4,-0.070,-0.122,-0.113,-0.131,
1933,5,-0.100,-0.121,-0.113,-0.130,
1933,6,-0.097,-0.121,-0.112,-0.130,
1933,7,-0.094,-0.121,-0.112,-0.130,
1933,8,-0.094,-0.121,-0.112,-0.130,
1933,9,-0.059,-0.121,-0.112,-0.130,
1933,10,-0.119,-0.121,-0.112,-0.129,
1933,11,-0.137,-0.120,-0.112,-0.129,
1933,12,-0.129,-0.120,-0.111,-0.129,
1934,1,-0.139,-0.120,-0.111,-0.129,
1934,2,-0.184,-0.120,-0.111,-0.129,
1934,3,-0.232,-0.120,-0.111,-0.128,
1934,4,-0.112,-0.119,-0.111,-0.128,
1934,5,-0.170,-0.119,-0.111,-0.128,
1934,6,-0.097,-0.119,-0.110,-0.128,
1934,7,-0.115,-0.119,-0.110,-0.128,
1934,8,-0.152,-0.119,-0.110,-0.127,
1934,9,-0.104,-0.119,-0.110,-0.127,
1934,10,-0.083,-0.118,-0.110,-0.127,
1934,11,-0.158,-0.118,-0.110,-0.127,
1934,12,-0.120,-0.118,-0.109,-0.127,
1940,1,-0.106,-0.107,-0.099,-0.115,
1940,2,0.005,-0.107,-0.099,-0.115,
1940,3,-0.097,-0.107,-0.099,-0.115,
1940,4,-0.082,-0.106,-0.099,-0.114,
1940,5,-0.063,-0.106,-0.098,-0.114,
1940,6,-0.075,-0.106,-0.098,-0.114,
1940,7,-0.112,-0.106,-0.098,-0.114,
1940,8,-0.146,-0.106,-0.098,-0.114,
1940,9,-0.117,-0.106,-0.098,-0.113,
1940,10,-0.113,-0.105,-0.098,-0.113,
1940,11,-0.131,-0.105,-0.097,-0.113,
1940,12,-0.108,-0.105,-0.097,-0.113,
1941,1,-0.042,-0.105,-0.097,-0.113,
1941,2,-0.065,-0.105,-0.097,-0.112,
1941,3,-0.125,-0.104,-0.097,-0.112,
1941,4,-0.121,-0.104,-0.097,-0.112,
1941,5,-0.079,-0.104,-0.096,-0.112,
1941,6,-0.081,-0.104,-0.096,-0.112,
1941,7,-0.088,-0.104,-0.096,-0.111,
1941,8,-0.076,-0.104,-0.096,-0.111,
1941,9,-0.089,-0.103,-0.096,-0.111,
1941,10,-0.104,-0.103,-0.096,-0.111,
1941,11,-0.122,-0.103,-0.095,-0.111,
1941,12,-0.105,-0.103,-0.095,-0.111,
1943,1,-0.146,-0.100,-0.093,-0.108,
1943,2,-0.117,-0.100,-0.093,-0.108,
1943,3,-0.161,-0.100,-0.093,-0.108,
1943,4,-0.109,-0.100,-0.092,-0.107,
1943,5,-0.112,-0.100,-0.092,-0.107,
1943,6,-0.072,-0.100,-0.092,-0.107,
1943,7,-0.073,-0.099,-0.092,-0.107,
1943,8,-0.030,-0.099,-0.092,-0.107,
1943,9,-0.065,-0.099,-0.092,-0.106,
1943,10,-0.031,-0.099,-0.091,-0.106,
1943,11,-0.045,-0.099,-0.091,-0.106,
1943,12,-0.157,-0.099,-0.091,-0.106,
1944,1,-0.118,-0.098,-0.091,-0.106,
1944,2,-0.132,-0.098,-0.091,-0.106,
1944,3,-0.152,-0.098,-0.091,-0.105,
1944,4,-0.097,-0.098,-0.090,-0.105,
1944,5,-0.143,-0.098,-0.090,-0.105,
1944,6,-0.078,-0.097,-0.090,-0.105,
1944,7,-0.073,-0.097,-0.090,-0.105,
1944,8,-0.082,-0.097,-0.090,-0.104,
1944,9,-0.083,-0.097,-0.090,-0.104,
1944,10,-0.095,-0.097,-0.089,-0.104,
1944,11,0.028,-0.097,-0.089,-0.104,
1944,12,-0.083,-0.096,-0.089,-0.104,
1945,1,-0.069,-0.096,-0.089,-0.103,
1945,2,-0.081,-0.096,-0.089,-0.103,
1945,3,-0.040,-0.096,-0.089,-0.103,
1945,4,-0.085,-0.096,-0.088,-0.103,
1945,5,-0.002,-0.095,-0.088,-0.103,
1945,6,-0.054,-0.095,-0.088,-0.102,
1945,7,-0.076,-0.095,-0.088,-0.102,
1945,8,-0.082,-0.095,-0.088,-0.102,
1945,9,-0.074,-0.095,-0.088,-0.102,
1945,10,-0.061,-0.095,-0.087,-0.102,
1945,11,0.009,-0.094,-0.087,-0.102,
1945,12,0.042,-0.094,-0.087,-0.101,
1946,1,-0.072,-0.094,-0.087,-0.101,
1946,2,-0.071,-0.094,-0.087,-0.101,
1946,3,-0.076,-0.094,-0.087,-0.101,
1946,4,-0.033,-0.093,-0.086,-0.101,
1946,5,-0.073,-0.093,-0.086,-0.100,
