Process,Lon,Lat,Year,m_se
Barystatic,-70.375,42.875,1880,0.012349249759956568
Barystatic,-70.375,42.875,1881,0.012166560687056849
Barystatic,-70.375,42.875,1882,0.011988981479600364
Barystatic,-70.375,42.875,1883,0.01181637605925306
Barystatic,-70.375,42.875,1884,0.011648603669612631
Barystatic,-70.375,42.875,1885,0.011485519125325859
Barystatic,-70.375,42.875,1886,0.011326973093979628
Barystatic,-70.375,42.875,1887,0.011172812409744295
Barystatic,-70.375,42.875,1888,0.011022880417413897
Barystatic,-70.375,42.875,1889,0.010877017345199403
Barystatic,-70.375,42.875,1890,0.010735060704325323
Barystatic,-70.375,42.875,1891,0.010596845713289366
Barystatic,-70.375,42.875,1892,0.010462205744427888
Barystatic,-70.375,42.875,1893,0.010330972790324262
Barystatic,-70.375,42.875,1894,0.010202977947504662
Barystatic,-70.375,42.875,1895,0.010078051914869608
Barystatic,-70.375,42.875,1896,0.009956025504343859
Barystatic,-70.375,42.875,1897,0.009836730161333938
Barystatic,-70.375,42.875,1898,0.009719998492762005
Barystatic,-70.375,42.875,1899,0.009605664800631512
Barystatic,-70.375,42.875,1900,0.009405448275392064
Barystatic,-70.375,42.875,1901,0.009313672090391783
Barystatic,-70.375,42.875,1902,0.009312779473470626
Barystatic,-70.375,42.875,1903,0.009216974200759544
Barystatic,-70.375,42.875,1904,0.009016217683710625
Barystatic,-70.375,42.875,1905,0.009087903871653065
Barystatic,-70.375,42.875,1906,0.008987724698399781
Barystatic,-70.375,42.875,1907,0.00883564160941482
Barystatic,-70.375,42.875,1908,0.008766181680968401
Barystatic,-70.375,42.875,1909,0.008736469832160646
Barystatic,-70.375,42.875,1910,0.008574141893364714
Barystatic,-70.375,42.875,1911,0.0084307444609863
Barystatic,-70.375,42.875,1912,0.008260190615041752
Barystatic,-70.375,42.875,1913,0.008284873105362234
Barystatic,-70.375,42.875,1914,0.008071971279258612
Barystatic,-70.375,42.875,1915,0.00800682888140938
Barystatic,-70.375,42.875,1916,0.0078081887451007526
Barystatic,-70.375,42.875,1917,0.007945810544089214
Barystatic,-70.375,42.875,1918,0.0076527303621124945
Barystatic,-70.375,42.875,1919,0.007621107871587206
Barystatic,-70.375,42.875,1920,0.007427220503202144
Barystatic,-70.375,42.875,1921,0.007430393766638552
